(-3, -8)
(1, -10)
(1, -11)
(1, -12)
(1, -13)
(1, -14)
(1, -15)
(-6, -9)
(-6, -10)
(-5, -9)
(-4, -10)
(-3, -9)
(3, -9)
(4, -7)
(4, -8)
(3, -8)
(1, -6)
(2, -7)
(2, -8)
(1, -7)
(1, 2)
(1, 1)
(9, 1)
(7, -1)
(3, 0)
(2, 1)
(2, 2)
(3, 2)
(0, 3)
(-1, 2)
(-1, 1)
(0, 1)
(0, 0)
(1, 0)
(3, -5)
(2, -5)
(0, -4)
(2, 8)
(3, 8)
(4, 11)
(3, 11)
(2, 11)
(2, 12)
(4, 10)
(12, 10)
(12, 16)
(11, 16)
(12, 17)
(11, 17)
(8, 15)
(7, 16)
(3, 12)
(2, 13)
(2, 14)
(4, 16)
(2, 15)
(1, 16)
(1, 17)
(2, 17)
(3, 17)
(4, 19)
(4, 18)
(3, 19)
(4, 20)
(5, 20)
(5, 19)
(6, 19)
(7, 17)
(6, 18)
(7, 18)
(8, 25)
(8, 26)
(3, 25)
(2, 25)
(2, 24)
(4, 23)
(6, 20)
(7, 19)
(9, 19)
(9, 17)
(10, 17)
(10, 18)
(11, 18)
(10, 19)
(12, 19)
(13, 18)
(13, 17)
(14, 17)
(14, 16)
(14, 19)
(13, 15)
(11, 11)
(13, 13)
(14, 14)
(18, 10)
(17, 9)
(17, 11)
(16, 16)
(17, 15)
(18, 14)
(24, 11)
(20, 12)
(19, 16)
(19, 15)
(15, 17)
(18, 16)
(17, 16)
(15, 19)
(16, 18)
(14, 20)
(13, 25)
(14, 26)
(15, 26)
(16, 25)
(16, 24)
(18, 23)
(18, 24)
(17, 24)
(17, 22)
(18, 19)
(17, 19)
(16, 19)
(8, 20)
(9, 24)
(8, 24)
(7, 24)
(6, 24)
(5, 27)
(4, 27)
(4, 26)
(5, 25)
(4, 24)
(5, 23)
(6, 23)
(6, 22)
(8, 21)
(8, 22)
(10, 23)
(12, 21)
(11, 22)
(13, 21)
(14, 24)
(12, 24)
(13, 24)
(13, 23)
(16, 21)
(17, 20)
(17, 21)
(18, 21)
(22, 21)
(22, 20)
(22, 19)
(19, 18)
(19, 20)
(19, 19)
(21, 21)
(20, 21)
(20, 20)
(21, 19)
(24, 18)
(22, 18)
(23, 17)
(20, 16)
(21, 16)
(32, 14)
(33, 14)
(32, 15)
(33, 24)
(32, 23)
(31, 26)
(32, 25)
(32, 24)
(35, 22)
(32, 20)
(31, 20)
(28, 21)
(26, 19)
(25, 21)
(28, 30)
(29, 30)
(29, 29)
(29, 28)
(29, 27)
(30, 25)
(30, 24)
(26, 21)
(26, 20)
(25, 19)
(24, 19)
(24, 20)
(24, 21)
(24, 22)
(23, 22)
(23, 23)
(25, 23)
(26, 25)
(25, 24)
(24, 25)
(21, 26)
(23, 27)
(26, 27)
(25, 26)
(21, 27)
(20, 27)
(19, 28)
(18, 28)
(17, 28)
(16, 29)
(16, 30)
(17, 30)
(18, 30)
(19, 30)
(20, 28)
(21, 28)
(21, 29)
(23, 30)
(24, 30)
(25, 30)
(27, 30)
(26, 29)
(28, 27)
(28, 26)
(29, 25)
(26, 22)
(27, 22)
(26, 24)
(27, 23)
(28, 22)
(29, 22)
(28, 23)
(27, 25)
(28, 24)
(29, 23)
(30, 23)
(30, 22)
(31, 22)
(31, 21)
(32, 21)
(32, 22)
(33, 22)
(33, 23)
(34, 23)
(34, 24)
(35, 24)
(36, 23)
(37, 22)
(37, 21)
(33, 19)
(34, 20)
(36, 18)
(37, 18)
(37, 19)
(35, 20)
(35, 19)
(34, 19)
(34, 17)
(34, 16)
(33, 17)
(32, 16)
(32, 17)
(31, 18)
(31, 19)
(29, 20)
(27, 19)
(28, 19)
(30, 18)
(30, 16)
(29, 16)
(28, 15)
(29, 13)
(21, 15)
(22, 14)
(27, 16)
(27, 17)
(31, 9)
(27, 15)
(26, 15)
(25, 15)
(25, 13)
(24, 14)
(22, 13)
(22, 12)
(23, 13)
(25, 11)
(26, 14)
(27, 13)
(27, 12)
(25, 8)
(24, 9)
(23, 7)
(24, 7)
(24, 5)
(25, 7)
(26, 8)
(26, 11)
(26, 9)
(27, 11)
(28, 11)
(29, 12)
(30, 12)
(31, 12)
(29, 10)
(29, 9)
(27, 9)
(27, 8)
(27, 7)
(28, 8)
(28, 7)
(30, 5)
(29, 7)
(31, 8)
(31, 7)
(30, 7)
(30, 6)
(28, 3)
(28, 2)
(27, 1)
(26, 4)
(25, 4)
(26, 6)
(27, 5)
(29, 6)
(29, 5)
(27, 4)
(27, 3)
(24, 0)
(25, -1)
(24, -1)
(24, -2)
(26, 1)
(27, 0)
(30, -1)
(28, -2)
(25, -2)
(26, -1)
(30, -2)
(31, -2)
(32, -3)
(33, -3)
(34, -3)
(35, -4)
(35, -5)
(34, -5)
(33, -5)
(32, -5)
(31, -3)
(30, -3)
(30, -4)
(20, -8)
(19, -8)
(20, -7)
(18, -7)
(17, -7)
(16, -7)
(16, -6)
(16, -5)
(17, -4)
(18, -4)
(20, -6)
(20, -4)
(18, -3)
(19, -3)
(25, -5)
(24, -7)
(23, -6)
